cod_a,cod_b,sim_nombre,sim_direccion,mismo_telefono,nombre_a,nombre_b,depto,municipio,idx_a,idx_b
16-13-0225-46,16-13-0226-46,100.0,100.0,False,LICEO MIXTO EN COMPUTACION DEL NORTE 1A.,LICEO MIXTO EN COMPUTACION DEL NORTE 1A.,ALTA VERAPAZ,CHISEC,4411,4412
16-01-0559-46,16-01-8849-46,100.0,100.0,False,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE 3A. AVE. 6-23,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE 3A. AVE. 6-23,ALTA VERAPAZ,COBAN,4051,4154
16-01-0565-46,16-01-0646-46,100.0,100.0,False,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO DIAGNONAL 1 1-26,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO DIAGNONAL 1 1-26,ALTA VERAPAZ,COBAN,4053,4070
16-01-0587-46,16-01-0588-46,100.0,100.0,True,LICEO MIXTO EN COMPUTACION DEL NORTE 1A.,LICEO MIXTO EN COMPUTACION DEL NORTE 1A.,ALTA VERAPAZ,COBAN,4060,4061
16-16-0135-46,16-16-0139-46,100.0,100.0,True,LICEO CRISTIANO EBENEZER,LICEO CRISTIANO EBENEZER,ALTA VERAPAZ,LA TINTA,4488,4491
16-03-0088-46,16-03-1520-46,100.0,100.0,True,LICEO GALILEO GALILEI 2A.,LICEO GALILEO GALILEI 2A.,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,4178,4210
16-03-0271-46,16-03-0272-46,100.0,100.0,True,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,4201,4202
16-03-0271-46,16-03-0273-46,100.0,100.0,True,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,4201,4203
16-03-0272-46,16-03-0273-46,100.0,100.0,True,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS 0,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,4202,4203
16-03-9884-46,16-03-9885-46,100.0,100.0,True,LICEO SAN CRISTOBAL 5A.,LICEO SAN CRISTOBAL 5A.,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,4212,4213
16-09-0748-46,16-09-0760-46,100.0,100.0,False,LICEO INTERCULTURAL VERAPACENSE 8A.,LICEO INTERCULTURAL VERAPACENSE 8A.,ALTA VERAPAZ,SAN PEDRO CARCHA,4308,4311
16-09-0945-46,16-09-0946-46,100.0,100.0,False,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALTA VERAPAZ,SAN PEDRO CARCHA INED,4349,4350
15-04-0089-46,15-04-0192-46,100.0,100.0,True,CENTRO EDUCATIVO NUEVA ESPERANZA,CENTRO EDUCATIVO NUEVA ESPERANZA,BAJA VERAPAZ,CUBULCO,4610,4612
15-04-0230-46,15-04-0238-46,100.0,100.0,True,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,BAJA VERAPAZ,CUBULCO,4615,4617
15-05-0041-46,15-05-0042-46,100.0,100.0,False,LICEO AMANECER EN VICTORIA,LICEO AMANECER EN VICTORIA,BAJA VERAPAZ,GRANADOS,4639,4640
15-08-0006-46,15-08-2158-46,100.0,100.0,True,INSTITUTO MIXTO PARTICULAR VERAPAZ,INSTITUTO MIXTO PARTICULAR VERAPAZ,BAJA VERAPAZ,PURULHA,4660,4678
15-03-0060-46,15-03-0062-46,100.0,100.0,True,COLEGIO PARTICULAR MIXTO SANTO DOMINGO 4A.,COLEGIO PARTICULAR MIXTO SANTO DOMINGO 4A.,BAJA VERAPAZ,RABINAL,4582,4583
15-03-0778-46,15-03-1888-46,100.0,100.0,True,CENTRO CULTURAL DE AMERICA 3A.,CENTRO CULTURAL DE AMERICA 3A.,BAJA VERAPAZ,RABINAL,4598,4601
15-01-0125-46,15-01-0135-46,100.0,100.0,False,CENTRO EDUCATIVO VERAPAZ DEL SUR 1A.,CENTRO EDUCATIVO VERAPAZ DEL SUR 1A.,BAJA VERAPAZ,SALAMA,4522,4523
15-01-0157-46,15-01-0160-46,100.0,100.0,True,LICEO SAN RAFAEL,LICEO SAN RAFAEL,BAJA VERAPAZ,SALAMA,4528,4529
15-07-0033-46,15-07-0034-46,100.0,100.0,False,COLEGIO PARTICULAR MIXTO SAN JERONIMO,COLEGIO PARTICULAR MIXTO SAN JERONIMO,BAJA VERAPAZ,SAN JERONIMO,4652,4653
15-02-0121-46,15-02-0122-46,100.0,100.0,False,CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO,CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO,BAJA VERAPAZ,SAN MIGUEL CHICAJ,4570,4571
04-01-0129-46,04-01-3173-46,100.0,100.0,False,INSTITUTO EVANGÉLICO AMÉRICA LATINA 6A.,INSTITUTO EVANGÉLICO AMÉRICA LATINA 6A.,CHIMALTENANGO,CHIMALTENANGO,4703,4869
04-01-0141-46,04-01-0197-46,100.0,100.0,True,COLEGIO BLESS 1A.,COLEGIO BLESS 1A.,CHIMALTENANGO,CHIMALTENANGO,4707,4728
